I,O,R,W,Econ,Avg,SR,4W,5W,4s,6s,Dots,Training module
1,9.5,37,1,3.76,37,59,0,0,4,0,40,Tactics and Strategy
7,30.3,161,2,5.28,80.5,91.5,0,0,12,5,93,Tactics and Strategy
9,68.5,372,12,5.4,31,34.42,0,0,34,3,208,Tactics and Strategy
6,23,96,2,4.17,48,69,0,0,3,4,81,Tactics and Strategy
6,57,255,4,4.47,63.75,85.5,0,0,26,0,209,Tactics and Strategy
4,28.3,136,7,4.77,19.43,24.43,1,0,10,5,110,Tactics and Strategy
3,10.4,85,2,7.97,42.5,32,0,0,12,1,33,Technical Skills
6,48,313,7,6.52,44.71,41.14,0,0,30,9,144,Technical Skills
4,19,109,1,5.74,109,114,0,0,10,3,61,Technical Skills
7,57.4,347,10,6.02,34.7,34.6,1,0,44,5,203,Technical Skills
5,44,178,8,4.05,22.25,33,1,0,21,3,203,Tactics and Strategy
9,55.5,280,7,5.01,40,47.86,1,0,32,0,187,Tactics and Strategy
3,28,145,3,5.18,48.33,56,0,0,8,3,75,Tactics and Strategy
2,14,86,0,6.14,0,0,0,0,5,0,21,Technical Skills
6,23.1,112,3,4.83,37.33,46.33,0,0,4,1,59,Tactics and Strategy
1,8,42,0,5.25,0,0,0,0,3,1,23,Tactics and Strategy
5,24,147,2,6.12,73.5,72,0,0,12,3,61,Technical Skills
1,0.5,6,0,7.2,0,0,0,0,1,0,2,Technical Skills
20,171.4,939,26,5.47,36.12,39.62,0,0,61,22,459,Technical Skills
4,23.2,69,3,2.96,23,46.67,0,0,6,1,97,Tactics and Strategy
1,7.4,25,0,3.26,0,0,0,0,1,1,32,Tactics and Strategy
9,38,270,7,7.11,38.57,32.57,0,0,29,9,110,Technical Skills
7,56.4,288,11,5.08,26.18,30.91,0,0,25,1,181,Tactics and Strategy
17,137.3,629,35,4.57,17.97,23.57,2,1,69,9,578,Technical Skills
4,30,139,5,4.63,27.8,36,0,0,8,3,99,Tactics and Strategy
11,50.5,246,7,4.84,35.14,43.57,0,0,23,0,152,Tactics and Strategy
3,23,173,1,7.52,173,138,0,0,24,1,66,Technical Skills
5,42.4,134,7,3.14,19.14,36.57,0,0,8,0,162,Tactics and Strategy
3,18,130,1,7.22,130,108,0,0,8,6,41,Technical Skills
1,5,25,0,5,0,0,0,0,5,0,21,Tactics and Strategy
8,67,487,16,7.27,30.44,25.12,1,0,52,14,183,Technical Skills
1,6,17,1,2.83,17,36,0,0,1,0,23,Tactics and Strategy
5,43,276,3,6.42,92,86,0,0,25,5,113,Technical Skills
5,16.1,88,2,5.44,44,48.5,0,0,2,3,39,Tactics and Strategy
3,20,119,1,5.95,119,120,0,0,9,2,61,Technical Skills
1,3.3,23,0,6.57,0,0,0,0,4,0,10,Technical Skills
4,27.4,207,2,7.48,103.5,83,0,0,19,5,65,Technical Skills
1,3,23,0,7.67,0,0,0,0,1,0,2,Technical Skills
10,51,212,6,4.16,35.33,51,0,0,18,1,180,Tactics and Strategy
1,2,11,0,5.5,0,0,0,0,2,0,7,Tactics and Strategy
2,12,73,0,6.08,0,0,0,0,2,2,34,Technical Skills
1,1,9,0,9,0,0,0,0,1,0,1,Technical Skills
5,45,179,9,3.98,19.89,30,0,0,14,4,174,Tactics and Strategy
8,67,459,10,6.85,45.9,40.2,1,0,48,15,205,Technical Skills
7,56,325,11,5.8,29.55,30.55,1,0,42,4,196,Technical Skills
2,11,82,3,7.45,27.33,22,0,0,9,3,33,Technical Skills
7,63.2,268,6,4.23,44.67,63.33,0,0,23,2,233,Tactics and Strategy
6,24.3,114,3,4.65,38,49,0,0,8,2,78,Tactics and Strategy
20,132.1,652,16,4.93,40.75,49.56,0,0,27,14,381,Tactics and Strategy
7,63.5,341,13,5.34,26.23,29.46,0,0,40,4,214,Tactics and Strategy
9,36.1,234,14,6.47,16.71,15.5,0,0,22,8,122,Technical Skills
1,1,11,0,11,0,0,0,0,2,0,1,Technical Skills
